      -- Select Department --
ASG      A&S - General
ACP      Academic Computing
ACC      Accounting
ADG      Admin. Svcs - General
EDB      Administration/Supervision
ADM      Admissions
ATS      Adult/Transfer Services
EDV      Adult/Vocational/Hum Res Div
ADV      Advancement Services
AFA      Africana Studies
AMH      Aging & Mental Health
AGE      Aging Studies
AFR      Air Force (ROTC)
HUN      Allied Health Science
AAS      Alumni Association
AMS      American Studies
ANA      Anatomy
ANC      Anchin Ctr. Advancement Teach.
ANE      Anesthesiology
ANT      Anthropology
ARC      Architecture
MIS      Army (ROTC)
ART      Art
EDA      Art Education
ACD      Arts & Sciences Deans Office
AST      Astronomy
ATH      Athletic Training
ATG      Athletics - General
BIS      BIS,SUS, External Degree Prog.
BSB      Baseball
EGB      Basic & Interdisciplinary Eng.
CBS      Basic Studies
BKB      Basketball
BCD      Behav & Comm Sci Deans Office
BMB      Biochemistry & Molecular Biol.
BSP      Biological Sciences
BIO      Biology
BIN      Biology - Integrative
BCM      Biology-Cell, Micro, Molecular
BOT      Botany
BDG      Budget - General
MBA      Business Administration
GBA      Business Administration - Gen.
BUD      Business Deans Office
CMM      Cell, Micro, and Molecular Bio
CDV      Center - Corporate Development
COT      Center for Ocean Technology
CSW      Center for Swallowing Disorder
ECM      Chem, Bio & Materials Engineer
ECH      Chemical & Biomedical Eng
CHM      Chemistry
CFS      Child & Family Studies
EDR      Childhood Ed & Literacy Stdies
CCR      Chiles Center
EGX      Civil & Environmental Engineer
CLA      Classics (Greek and Latin)
ENT      Cntr - Entrepreneurshp & Tech
COE      Co-op Education
CSL      Coalition for Science Literacy
SPE      Communication
CSD      Communication Sci & Disorders
CLY      Communicology
CAF      Community Adv. - African Am.
CAL      Community Adv. - Latino
CEI      Community Engagement Initiativ
CEL      Community Experiential Learnin
CMH      Community Mental Health
CFH      Community and Family Health
ESB      Computer Science & Engineering
ESC      Computer Service Courses
CAM      Contemporary Art Museum
CED      Continuing Education
CME      Continuing Medical Education
CNV      Converted Department
CHD      Counseling Ctr - Human Develop
EDG      Counselor Education
CJP      Criminology
MST      Ctr Excellence in Technology
CTR      Ctr Urban Transportation Rsrch
CIB      Ctr for International Business
CMR      Ctr for Microeletronics Rsrch
CMS      Ctr. Economic & Mgmt. Research
EDC      Curriculum
CNI      Curriculum and Instruction
CIL      Curriculum, Instruct & Learn
DIG      D. I. - General
DAN      Dance
DEA      Dean&#39;s Office
WSP      Department of Women&#39;s Studies
DIO      Dept Inter Onc
DERM      Dermatology
DEV      Development
DIT      Div. of Information Technology
EDU      Early Childhood Education
EUP      Early University Programs
ECN      Economics
EAP      Edu & Psychological Studies
CCD      Educ. Rsrch Ctr for Child Dev.
EDZ      Education - General
EUD      Education Deans Office
ELS      Educational Leadership
EEP      Educational Psychology
EGE      Electrical Engineering
EDE      Elementary Education
BXE      Elementary/Exceptional Ed
EMD      Emergency Medicine
ENR      Engineering - General
END      Engineering Deans Office
ETK      Engineering Technology
ENG      English
EDT      English Ed & Speech Comm. Ed.
ENP      Entrepreneurship
EOH      Environ. & Occupational Health
ENV      Environment
ESP      Environmental Science & Policy
EPB      Epidemiology and Biostatistics
ETH      Ethics Center
EDS      Exceptional Child Education
EXS      Exercise Science
FMH      FMHI
FMD      Family Medicine
FIN      Finance
FIA      Financial Aid
FGN      Fine Arts - General
FAI      Fine Arts Interdisciplinary
FAP      Fine Arts Pre-major
FCT      Florida Ctr Instructional Tech
FIT      Florida Inst. of Government
FIO      Florida Inst. of Oceanography
FBL      Football
FOL      Foreign Language
EDX      Foreign Language Education
FMG      Fort Myers - General
FDN      Foundation
FOB      Foundation Business Office
EDF      Foundations
GPY      Geography
GEP      Geography & Env Sci & Policy
GLY      Geology
GLO      Global Health
CGD      Global Sustain Deans Office
GLF      Golf
GIA      Government & Intl Affairs
GVG      Government Relations
GRS      Graduate School Department
GSD      Graduate Studies Deans Office
GRA      Graphic Design
GST      Graphicstudio
HEN      Health Education
HPM      Health Policy and Management
HSL      Health Sciences Library
EDH      Higher Ed/Community College Ed
HTY      History
HON      Honors Program
HRM      Hotel & Restaurant Management
HUS      Human Services
HUM      Humanities
HCS      Humanities & Cultural Studies
EDY      Humanities Education
HAS      Humanities/American Studies
NTO      INTO
EGS      Industrial & Mgmt Sys Engineer
QMB      Information Sys & Decision Sci
EIT      Information Technology
ICY      Inst At-Risk Infants & Familie
IRP      Inst Instr Rsrch & Practice
BSI      Inst. for Biomolecular Sci.
IBL      Institute on Black Life
EDK      Instructional Technology
ITB      Integrative Biology
IDP      Interdept
CGS      Interdisc. Ctr. -Greek Studies
IAS      Interdisciplinary Arts & Scien
LLI      Interdisciplinary Language Lit
IOP      Interdisciplinary Oncology
ISS      Interdisciplinary Social Sci.
IDS      Interdisciplinary Studies
IMD      Internal Medicine
IAC      International Affairs Center
ILI      International Language Inst.
INT      International Studies
JDC      Journalism & Digital Com
JMS      Journalism & Media Studies
